Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2011013-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,27mt-.",,"63,50",M2,"8,66","304,86","550,00","44,57%"
,Total :,"63,50",,"8,66","304,86","550,00","44,57%"
,TOTAL CIDADE:,"63,50",,,"304,86","550,00","44,57%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0005/,73
PB,ALHANDRA,,,,,,
19.219,TINTA | EPSON/BULK INK/1L,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
12101-0,TINTA BULK INK EPSON ECO SOLVENT ES6510 BLACK 1L-.,"1,00",UN,"135,00","76,46","135,00","43,36%"
12104-0,TINTA BULK INK EPSON ECO SOLVENT ES6510 YELLOW 1L-.,"1,00",UN,"135,00","76,46","135,00","43,36%"
,Total :,"2,00",,"135,00","152,92","270,00","43,36%"
,TOTAL CIDADE:,"2,00",,,"152,92","270,00","43,36%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0006/,73
PB,ARARA,,,,,,
20.165,ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
15012-0,ALCOOL ISOPROPILICO QUIMAGRAF 1LT-.,"5,00",UN,"31,40","93,87","157,00","40,21%"
,Total :,"5,00",,"31,40","93,87","157,00","40,21%"
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm,1.50 x 5.00mt 8821-.,"12,00",UN,"590,00","4.339,92","7.080,00","38,70%"
,Total :,"12,00",,"590,00","4.339,92","7.080,00","38,70%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-.,,"7,00",UN,"314,14","1.319,02","2.199,00","40,02%"
,Total :,"7,00",,"314,14","1.319,02","2.199,00","40,02%"
2030.2003,ACESSÓRIOS SIGN | SOLVENTE,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2015036-0PRIMER MAXIMUS UNIBOND P/ ACM LATA 900ML-.,,"2,00",UN,"120,00","143,71","240,00","40,12%"
,Total :,"2,00",,"120,00","143,71","240,00","40,12%"
2030.2057,ACESSÓRIOS SIGN | SELANTE/SILICONE NEOKLON,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
13800-0,SILICONE NEOKLON NEUTRO P/ ACM 260G AMARELO-.,"6,00",UN,"32,33","116,37","194,00","40,02%"
13795-0,SILICONE NEOKLON NEUTRO P/ ACM 260G AZUL-.,"4,00",UN,"32,50","77,58","130,00","40,32%"
,Total :,"10,00",,"32,40","193,95","324,00","40,14%"
,TOTAL CIDADE:,"36,00",,,"6.090,47","10.000,00","39,10%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0007/,73
PB,ARARUNA,,,,,,
19.219,TINTA | EPSON/BULK INK/1L,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
10730-0,TINTA BULK INK EPSON E850 CYAN 1LT (CX C/ 20)-.,"1,00",UN,"50,00","23,57","50,00","52,84%"
