"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"53,00",M2,"5,80","173,47","307,40","43,57%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-.",,"63,50",M2,"4,99","212,74","316,86","32,86%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-.",,"106,00",M2,"5,30","321,59","561,80","42,76%"
,Total :,"222,50",,"5,33","707,80","1.186,06","40,32%"
2015.2012,PSAI | MAXPOLI,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2017500-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA * 090 (1mm)-.",,"1,00",UN,"45,00","24,81","45,00","44,87%"
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-.",,"1,00",UN,"90,00","49,64","90,00","44,84%"
,Total :,"2,00",,"67,50","74,44","135,00","44,86%"
,TOTAL CIDADE:,"521,50",,,"2.329,44","3.855,06","39,57%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,,Emissão:,04/12/2025 12:34,,h,Página :,0003/,68
PB,AREIA,,,,,,,
10.1,CARTUCHO DE TONER | HP,,,,,,,
Produto,Descrição,Quantidade,,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3473-0,CART. DE TONER COMP. COM PM 2612 2K PTC (CX C/12)-.,,"2,00",PC,"35,00","34,74","70,00","50,37%"
3474-0,CART. DE TONER COMP. COM PM CB435/436/285A 2K PTC (CX C/20)-.,,"15,00",PC,"35,00","247,26","525,00","52,90%"
3076-0,"CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-.",,"1,00",PC,"30,00","16,25","30,00","45,83%"
3005-0,CART. DE TONER COMP. COM PM W1105A NEW C/ CHIP PTC (CX C/12)-.,,"6,00",PC,"45,00","123,55","270,00","54,24%"
,,Total :,"24,00",,"37,29","421,80","895,00","52,87%"
10.113,CARTUCHO DE TONER | BROTHER,,,,,,,
Produto,Descrição,Quantidade,,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3165-0,CART. DE TONER COMP. COM BROTHER TN1000/35/40/60/70/75 PTC (CX C/20)-.,,"4,00",PC,"25,00","41,60","100,00","58,40%"
3304-0,CART. DE TONER COMP. COM BROTHER TN2340,PTC (CX C/12)-.,"20,00",PC,"28,00","249,60","560,00","55,43%"
,,Total :,"24,00",,"27,50","291,20","660,00","55,88%"
10.115,CARTUCHO DE TONER | SAMSUNG,,,,,,,
Produto,Descrição,Quantidade,,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3934-0,"CART. DE TONER COMP. COM SAMSUNG D101 ML2165 1,5K CHMT(CX C/15)-.",,"2,00",PC,"45,00","49,51","90,00","44,99%"
3318-0,CART. DE TONER COMP. COM SAMSUNG D111 ATUALIZADO PTC (CX C/12)-.,,"2,00",PC,"45,00","43,99","90,00","51,12%"
,,Total :,"4,00",,"45,00","93,50","180,00","48,06%"
19.233,TINTA | HP/BULK INK/100ML,,,,,,,
